Gender,Education,Years_of_Professional_Experience,Region,Employment_Type,Area_of_Expertise,Annual_Salary,bonus
Male,Bachelor's Degree,7,Agder,"in-house, privat sektor",AI / Machine Learning,865000.00,No
Male,Master's Degree,2,Nordland,"in-house, offentlig/kommunal sektor",AI / Machine Learning,756000.00,No
Male,Bachelor's Degree,30,Oslo,konsulent,AI / Machine Learning,1500000.00,No
Male,Master's Degree,25,Oslo,konsulent,AI / Machine Learning,1200000.00,No
Male,Higher than Master's,18,Oslo,"in-house, privat sektor",AI / Machine Learning,1200000.00,No
Male,Below Bachelor's,14,Oslo,"in-house, privat sektor",AI / Machine Learning,839000.00,No
Female,Master's Degree,9,Oslo,konsulent,AI / Machine Learning,1200000.00,Yes
Male,Higher than Master's,9,Oslo,"in-house, privat sektor",AI / Machine Learning,980000.00,Yes
Other,Master's Degree,5,Oslo,"in-house, privat sektor",AI / Machine Learning,750000.00,No
Male,Master's Degree,5,Oslo,konsulent,AI / Machine Learning,910000.00,No
Male,Master's Degree,4,Oslo,konsulent,AI / Machine Learning,820000.00,No
Male,Master's Degree,4,Oslo,konsulent,AI / Machine Learning,850000.00,Yes
Male,Master's Degree,3,Oslo,konsulent,AI / Machine Learning,730000.00,Yes
Male,Master's Degree,3,Oslo,"in-house, privat sektor",AI / Machine Learning,850000.00,No
Male,Master's Degree,2,Oslo,"in-house, privat sektor",AI / Machine Learning,710000.00,No
Male,Master's Degree,2,Oslo,"in-house, privat sektor",AI / Machine Learning,894000.00,No
Female,Master's Degree,0,Oslo,"in-house, offentlig/kommunal sektor",AI / Machine Learning,732000.00,No
Male,No Education,4,Rogaland,konsulent,AI / Machine Learning,910000.00,Yes
Male,Master's Degree,3,Rogaland,"in-house, privat sektor",AI / Machine Learning,900000.00,Yes
Male,Master's Degree,1,Troms og Finnmark,"in-house, offentlig/kommunal sektor",AI / Machine Learning,640000.00,No
Male,Master's Degree,23,Trøndelag,"in-house, privat sektor",AI / Machine Learning,1152000.00,No
Male,Higher than Master's,7,Trøndelag,"in-house, privat sektor",AI / Machine Learning,810000.00,No
Male,Master's Degree,5,Trøndelag,konsulent,AI / Machine Learning,797000.00,No
Male,Master's Degree,2,Trøndelag,konsulent,AI / Machine Learning,650000.00,Yes
Male,Master's Degree,0,Trøndelag,konsulent,AI / Machine Learning,595000.00,No
Male,Master's Degree,0,Trøndelag,konsulent,AI / Machine Learning,650000.00,No
Male,No Education,2,Vestland,"in-house, privat sektor",AI / Machine Learning,525000.00,No
Male,Higher than Master's,28,Viken,"in-house, privat sektor",AI / Machine Learning,1950000.00,Yes
Male,Higher than Master's,1,Viken,"in-house, privat sektor",AI / Machine Learning,660000.00,Yes
Male,Master's Degree,8,Agder,"in-house, offentlig/kommunal sektor",annet,850000.00,No
Male,Below Bachelor's,0,Agder,konsulent,annet,460000.00,No
Male,Below Bachelor's,0,Innlandet,"in-house, privat sektor",annet,550000.00,No
Male,No Education,10,Nordland,konsulent,annet,550000.00,No
Male,Master's Degree,27,Oslo,konsulent,annet,780000.00,No
Male,Higher than Master's,25,Oslo,konsulent,annet,1800000.00,Yes
Male,Below Bachelor's,24,Oslo,"in-house, privat sektor",annet,920000.00,No
Male,Higher than Master's,23,Oslo,"in-house, privat sektor",annet,1326000.00,No
Male,Below Bachelor's,22,Oslo,"in-house, privat sektor",annet,1370000.00,Yes
Male,Below Bachelor's,20,Oslo,konsulent,annet,1500000.00,Yes
Female,Master's Degree,19,Oslo,"in-house, privat sektor",annet,1170000.00,Yes
Male,Higher than Master's,17,Oslo,konsulent,annet,1300000.00,No
Female,Master's Degree,16,Oslo,konsulent,annet,1100000.00,No
Male,Higher than Master's,16,Oslo,konsulent,annet,1210000.00,Yes
Male,Master's Degree,14,Oslo,"in-house, privat sektor",annet,700000.00,No
Male,Below Bachelor's,9,Oslo,"in-house, privat sektor",annet,1025000.00,No
Female,Master's Degree,7,Oslo,konsulent,annet,850000.00,Yes
Male,Master's Degree,7,Oslo,konsulent,annet,780000.00,No
Male,Higher than Master's,7,Oslo,konsulent,annet,1000000.00,No
Male,Below Bachelor's,6,Oslo,konsulent,annet,900000.00,No
Male,Below Bachelor's,5,Oslo,konsulent,annet,750000.00,Yes
Male,Master's Degree,3,Oslo,konsulent,annet,870000.00,No
Male,Below Bachelor's,2,Oslo,konsulent,annet,560000.00,Yes
Male,Below Bachelor's,2,Oslo,konsulent,annet,590000.00,No
Male,Master's Degree,2,Oslo,konsulent,annet,685000.00,No
Male,Below Bachelor's,2,Oslo,"in-house, privat sektor",annet,700000.00,No
Male,Higher than Master's,2,Oslo,konsulent,annet,715000.00,Yes
Male,Master's Degree,1,Oslo,konsulent,annet,750000.00,Yes
Male,Master's Degree,28,Rogaland,"in-house, offentlig/kommunal sektor",annet,800000.00,No
Male,Bachelor's Degree,23,Rogaland,"in-house, privat sektor",annet,2400000.00,Yes
Male,Below Bachelor's,1,Rogaland,konsulent,annet,650000.00,Yes
Male,Below Bachelor's,0,Rogaland,konsulent,annet,570000.00,Yes
Male,Master's Degree,8,Trøndelag,"in-house, privat sektor",annet,910000.00,Yes
Male,Below Bachelor's,2,Trøndelag,"in-house, offentlig/kommunal sektor",annet,630000.00,No
Male,Below Bachelor's,1,Trøndelag,"in-house, offentlig/kommunal sektor",annet,525000.00,No
Male,Master's Degree,1,Trøndelag,konsulent,annet,570000.00,Yes
Male,Master's Degree,10,utlandet,"in-house, privat sektor",annet,1200000.00,Yes
Male,Bachelor's Degree,23,Vestfold og Telemark,"in-house, offentlig/kommunal sektor",annet,740000.00,No
Male,No Education,15,Vestfold og Telemark,"in-house, offentlig/kommunal sektor",annet,930000.00,No
Male,Below Bachelor's,5,Vestfold og Telemark,"in-house, privat sektor",annet,580000.00,No
Male,Below Bachelor's,5,Vestfold og Telemark,"in-house, privat sektor",annet,750000.00,Yes
Male,Higher than Master's,20,Vestland,konsulent,annet,515000.00,No
Male,Below Bachelor's,13,Vestland,"in-house, privat sektor",annet,925000.00,No
Male,Below Bachelor's,7,Vestland,frilans / selvstendig næringsdrivende,annet,2400000.00,No
Male,Higher than Master's,30,Viken,"in-house, offentlig/kommunal sektor",annet,1014000.00,No
Male,Higher than Master's,24,Viken,"in-house, privat sektor",annet,1150000.00,Yes
Male,Master's Degree,8,Viken,konsulent,annet,1500000.00,Yes
Male,Below Bachelor's,5,Viken,konsulent,annet,950000.00,No
Male,Below Bachelor's,0,Viken,"in-house, privat sektor",annet,485000.00,No
Male,Higher than Master's,12,Oslo,konsulent,annet,960000.00,Yes
Male,Master's Degree,8,Oslo,frilans / selvstendig næringsdrivende,annet,1650000.00,No
Male,Master's Degree,7,Oslo,"in-house, privat sektor",annet,840000.00,Yes
Female,Master's Degree,1,Troms og Finnmark,konsulent,annet,1500000.00,No
Male,Below Bachelor's,12,Vestland,"in-house, privat sektor",annet,310000.00,No
Male,Below Bachelor's,8,Viken,"in-house, privat sektor",annet,683000.00,No
Female,Below Bachelor's,7,Innlandet,"in-house, offentlig/kommunal sektor",app,780000.00,No
Male,Below Bachelor's,0,Innlandet,"in-house, privat sektor",app,600000.00,No
Male,Below Bachelor's,30,Oslo,frilans / selvstendig næringsdrivende,app,1500000.00,Yes
Male,Bachelor's Degree,28,Oslo,"in-house, privat sektor",app,1100000.00,No
Male,Below Bachelor's,25,Oslo,"in-house, privat sektor",app,735000.00,No
Male,Below Bachelor's,14,Oslo,"in-house, privat sektor",app,900000.00,No
Male,Below Bachelor's,13,Oslo,konsulent,app,1100000.00,Yes
Male,Higher than Master's,12,Oslo,frilans / selvstendig næringsdrivende,app,940000.00,Yes
Male,Below Bachelor's,12,Oslo,"in-house, privat sektor",app,1135000.00,No
Male,Below Bachelor's,10,Oslo,"in-house, offentlig/kommunal sektor",app,910000.00,No
